position_or_role,to_league,age_band,row_count,fee_rate,mv_rate,fbref_perf_rate,wage_prior_rate
Attack,LaLiga,<21,26,0.19230769230769232,0.9230769230769231,0.9230769230769231,0.0
DEF,Liga Portugal,<21,23,0.21739130434782608,1.0,0.8260869565217391,0.6521739130434783
Defender,Bundesliga,29-32,23,0.2608695652173913,1.0,0.9565217391304348,0.8260869565217391
Goalkeeper,Bundesliga,21-24,23,0.34782608695652173,1.0,0.6956521739130435,0.43478260869565216
FWD,Liga Portugal,29-32,21,0.14285714285714285,0.9047619047619048,0.8571428571428571,0.3333333333333333
Goalkeeper,LaLiga,25-28,21,0.38095238095238093,1.0,0.7142857142857143,0.47619047619047616
Goalkeeper,Serie A,29-32,21,0.19047619047619047,1.0,0.9047619047619048,0.9047619047619048
Attack,Serie A,33+,19,0.47368421052631576,1.0,1.0,0.6842105263157895
Goalkeeper,Premier League,29-32,19,0.47368421052631576,1.0,0.9473684210526315,0.631578947368421
Goalkeeper,Serie A,<21,19,0.0,0.9473684210526315,0.21052631578947367,0.0
MID,Eredivisie,29-32,19,0.15789473684210525,0.8947368421052632,0.5263157894736842,0.5789473684210527
MID,Liga Portugal,29-32,19,0.10526315789473684,0.9473684210526315,0.8421052631578947,0.3157894736842105
Midfield,LaLiga,<21,18,0.3888888888888889,0.8888888888888888,1.0,0.05555555555555555
GK,Eredivisie,25-28,17,0.0,1.0,0.7058823529411765,0.7647058823529411
Goalkeeper,Bundesliga,29-32,17,0.35294117647058826,1.0,0.8823529411764706,0.9411764705882353
Goalkeeper,Ligue 1,25-28,17,0.47058823529411764,1.0,1.0,0.5294117647058824
GK,Liga Portugal,21-24,16,0.125,1.0,0.75,0.875
Missing,Unknown,<21,16,0.0,0.25,0.0,0.0
Attack,Ligue 1,29-32,15,0.4,1.0,1.0,0.7333333333333333
Defender,LaLiga,<21,15,0.26666666666666666,1.0,0.8666666666666667,0.06666666666666667
DEF,Eredivisie,29-32,13,0.0,0.9230769230769231,0.5384615384615384,0.38461538461538464
Goalkeeper,Bundesliga,<21,13,0.07692307692307693,0.9230769230769231,0.0,0.0
Goalkeeper,LaLiga,21-24,13,0.23076923076923078,1.0,0.8461538461538461,0.07692307692307693
Goalkeeper,Ligue 1,21-24,13,0.07692307692307693,1.0,0.38461538461538464,0.15384615384615385
Goalkeeper,Ligue 1,33+,13,0.23076923076923078,1.0,0.7692307692307693,1.0
FWD,Eredivisie,29-32,12,0.25,0.9166666666666666,0.4166666666666667,0.5
GK,Eredivisie,21-24,12,0.0,1.0,0.6666666666666666,0.75
Goalkeeper,Ligue 1,29-32,12,0.25,1.0,0.9166666666666666,0.8333333333333334
Goalkeeper,Ligue 1,<21,12,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.08333333333333333
Goalkeeper,Premier League,33+,12,0.16666666666666666,1.0,1.0,0.5833333333333334
Defender,Serie A,33+,11,0.18181818181818182,1.0,1.0,1.0
Goalkeeper,Bundesliga,25-28,11,0.2727272727272727,1.0,1.0,0.7272727272727273
Midfield,Bundesliga,29-32,11,0.5454545454545454,1.0,0.9090909090909091,0.8181818181818182
Midfield,Serie A,33+,11,0.09090909090909091,1.0,1.0,0.7272727272727273
FWD,Unknown,unknown,10,0.1,0.2,0.2,0.2
GK,Liga Portugal,33+,10,0.0,0.9,0.7,0.2
Goalkeeper,Serie A,33+,10,0.1,1.0,1.0,0.9
Attack,LaLiga,33+,9,0.1111111111111111,1.0,1.0,0.1111111111111111
Defender,LaLiga,33+,9,0.0,1.0,1.0,0.2222222222222222
GK,Liga Portugal,25-28,9,0.2222222222222222,1.0,0.8888888888888888,0.5555555555555556
GK,Eredivisie,<21,8,0.25,1.0,0.375,0.875
Midfield,Premier League,33+,8,0.125,1.0,1.0,0.75
GK,Liga Portugal,29-32,7,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.14285714285714285
MID,Unknown,unknown,7,0.0,0.0,0.0,0.0
Midfield,LaLiga,33+,7,0.0,1.0,1.0,0.2857142857142857
Attack,Premier League,33+,6,0.16666666666666666,1.0,1.0,0.8333333333333334
